Date,Dividends
3/31/2015,0.21
7/5/2017,0.29
7/3/2019,0.35
4/4/2013,0.17
1/4/2017,0.26
1/3/2019,0.33
3/29/2011,0.06
7/1/2013,0.17
7/5/2011,0.06
7/1/2015,0.21
10/4/2017,0.29
10/3/2019,0.35
1/2/2015,0.19
10/1/2013,0.17
10/4/2011,0.06
10/1/2015,0.21
4/4/2016,0.26
1/4/2021,0.36
11/27/2012,0.14
4/4/2018,0.33
4/2/2020,0.36
4/3/2012,0.08
4/1/2014,0.19
1/4/2016,0.21
7/5/2016,0.26
1/2/2020,0.35
7/2/2020,0.36
1/4/2018,0.29
7/5/2018,0.33
7/2/2012,0.08
10/3/2016,0.26
1/3/2012,0.06
7/2/2014,0.19
1/2/2014,0.17
10/1/2020,0.36
10/4/2018,0.33
10/2/2012,0.14
9/30/2014,0.19
4/5/2021,0.37
4/4/2017,0.29
4/4/2019,0.35
