Date,Open,High,Low,Close,Adj Close,Volume
1/26/2017,25.799999,25.99,25.4,25.639999,21.013292,1714300
1/27/2017,25.719999,25.77,25.27,25.34,20.767431,1155900
1/30/2017,25.309999,25.42,25.049999,25.139999,20.603519,958200
1/31/2017,25.1,25.5,25.07,25.129999,20.595325,1011900
2/1/2017,25.120001,25.34,25.09,25.120001,20.587132,1378600
2/2/2017,25.16,25.469999,25.139999,25.219999,20.669081,1084800
2/3/2017,25.459999,25.5,25.139999,25.42,20.832993,1048900
2/6/2017,25.49,25.49,25.07,25.299999,20.734648,998100
2/7/2017,25.35,25.549999,25.309999,25.530001,20.923147,837300
2/8/2017,25.52,25.92,25.51,25.879999,21.209988,857400
2/9/2017,25.93,25.959999,25.639999,25.809999,21.15262,626300
2/10/2017,25.73,26.200001,25.73,26.120001,21.406677,749900
2/13/2017,26.32,26.370001,25.91,26,21.308334,1477700
2/14/2017,26,26,25.26,25.35,20.775627,1858700
2/15/2017,25.129999,25.459999,24.92,25.32,20.75104,3863900
2/16/2017,25.469999,25.92,25.360001,25.77,21.119839,2402000
2/17/2017,25.950001,27.110001,25.549999,27.030001,22.152472,2346400
2/21/2017,27.18,27.219999,26.450001,26.940001,22.078711,2377600
2/22/2017,27.030001,27.41,26.719999,26.799999,21.963974,2288000
2/23/2017,26.99,27.139999,26.51,27.120001,22.226234,1605700
2/24/2017,27.209999,27.35,26.969999,27.32,22.390142,1832600
2/27/2017,27.379999,27.459999,27.16,27.379999,22.439314,1283300
2/28/2017,27.389999,27.48,27.15,27.25,22.332769,1343400
3/1/2017,27.120001,27.27,26.98,27.25,22.332769,1524200
3/2/2017,27.049999,27.379999,27.040001,27.200001,22.291796,926100
3/3/2017,27.139999,27.18,26.790001,27.18,22.275402,1100900
3/6/2017,27.07,27.309999,26.83,27.25,22.332769,1539100
3/7/2017,27.18,27.32,27.059999,27.24,22.324577,951800
3/8/2017,27.25,27.309999,26.83,26.83,21.988562,1436700
3/9/2017,26.799999,27.040001,26.190001,26.360001,21.603376,1489200
3/10/2017,26.540001,26.690001,25.84,25.860001,21.1936,928000
3/13/2017,25.84,26,25.690001,25.799999,21.144423,1162100
3/14/2017,25.799999,26.01,25.68,25.889999,21.218184,965900
3/15/2017,25.92,26.4,25.799999,26.309999,21.562393,1302800
3/16/2017,26.309999,26.450001,26.129999,26.139999,21.423069,1202700
3/17/2017,26.17,26.59,26.129999,26.389999,21.627954,1242100
3/20/2017,26.440001,26.5,26.24,26.43,21.660742,497800
3/21/2017,26.540001,26.610001,26.26,26.530001,21.742697,1419400
3/22/2017,26.639999,26.76,26.190001,26.66,21.849236,1561600
3/23/2017,26.67,26.91,26.58,26.700001,21.882019,986100
3/24/2017,26.68,26.790001,26.440001,26.5,21.718107,1260000
3/27/2017,26.4,26.58,25.93,26,21.308334,1903200
3/28/2017,26.040001,26.1,25.709999,26.1,21.390287,779700
3/29/2017,26.08,26.09,25.559999,25.85,21.185398,1938500
3/30/2017,25.57,25.67,25.309999,25.540001,21.152277,2053900
3/31/2017,25.51,26,25.48,25.959999,21.500114,2001100
4/3/2017,25.950001,26.15,25.85,26,21.533243,1234900
4/4/2017,25.99,26.709999,25.940001,26.41,21.872808,2396700
4/5/2017,26.4,26.66,26.26,26.52,21.963913,1498600
4/6/2017,26.469999,26.76,26.389999,26.719999,22.129553,1380200
4/7/2017,26.68,26.82,26.59,26.790001,22.187525,862200
4/10/2017,26.799999,26.98,26.74,26.93,22.303469,808200
4/11/2017,26.959999,27.309999,26.92,26.99,22.353165,1279700
4/12/2017,27.110001,27.120001,26.75,26.940001,22.311754,1501100
4/13/2017,26.98,27.08,26.76,27.059999,22.411139,845300
4/17/2017,27.17,27.84,27.09,27.84,23.057137,1669100
4/18/2017,27.809999,28.02,27.74,27.959999,23.156521,1561900
4/19/2017,27.860001,28.059999,27.75,27.889999,23.098543,1121800
4/20/2017,27.92,27.92,27.68,27.799999,23.024008,882400
4/21/2017,27.809999,27.809999,27.52,27.610001,22.866648,781600
4/24/2017,27.709999,27.73,26.85,27.24,22.560215,1313700
4/25/2017,27.25,27.370001,26.98,27.1,22.444271,1023000
4/26/2017,27.02,27.219999,26.950001,27.049999,22.402861,1080800
4/27/2017,27.08,27.08,26.059999,26.16,21.665756,2298100
4/28/2017,25.99,26.280001,25.209999,25.34,20.986631,2857300
5/1/2017,25.33,25.459999,25.139999,25.290001,20.945223,1749100
5/2/2017,25.309999,25.450001,25.01,25.049999,20.74645,1594900
5/3/2017,25.17,25.17,24.6,24.790001,20.531116,1354100
5/4/2017,24.65,24.950001,24.209999,24.9,20.622225,1375700
5/5/2017,24.92,25.219999,24.76,24.879999,20.605659,1476300
5/8/2017,24.940001,25.040001,24.639999,24.940001,20.655352,1117600
5/9/2017,24.950001,25.049999,24.559999,24.860001,20.589096,1816300
5/10/2017,24.84,25.26,24.83,24.98,20.68848,806700
5/11/2017,24.950001,24.98,24.73,24.84,20.572531,976600
5/12/2017,24.9,24.93,24.68,24.73,20.481424,736900
5/15/2017,24.690001,25,24.690001,24.85,20.580814,1247900
5/16/2017,24.75,24.82,24.35,24.5,20.290943,1478800
5/17/2017,24.49,25.35,24.440001,25.219999,20.887247,2967800
5/18/2017,25.280001,25.370001,25,25.25,20.912096,4328000
5/19/2017,25.25,25.309999,24.9,24.950001,20.663633,3311300
5/22/2017,24.969999,25.309999,24.9,25.129999,20.81271,1651800
5/23/2017,25.129999,25.370001,25.08,25.209999,20.878965,1160000
5/24/2017,25.290001,25.379999,25.17,25.280001,20.936939,1718400
5/25/2017,25.32,25.799999,25.25,25.309999,20.961784,1923300
5/26/2017,25.299999,25.450001,24.969999,25.059999,20.754734,1779500
5/30/2017,25.030001,25.110001,24.85,24.9,20.622225,1056300
5/31/2017,25.01,25.09,24.879999,24.959999,20.671915,2153400
6/1/2017,24.9,24.9,24.16,24.370001,20.183277,3331400
6/2/2017,24.610001,24.77,24.4,24.540001,20.324072,2958700
6/5/2017,24.52,24.58,24.16,24.5,20.290943,1663400
6/6/2017,24.6,24.6,23.99,23.99,19.868559,1981200
6/7/2017,24.049999,24.35,23.950001,24.33,20.150148,2168100
6/8/2017,24.379999,24.389999,23.940001,24.07,19.934814,1682600
6/9/2017,23.98,24.049999,23.74,23.809999,19.719484,2524600
6/12/2017,23.85,24.18,23.809999,24.01,19.885124,2566000
6/13/2017,23.950001,24.09,23.860001,23.959999,19.843714,1225000
6/14/2017,24.09,24.190001,23.84,24.02,19.893406,2224100
6/15/2017,23.940001,24.610001,23.940001,24.450001,20.249535,4030900
6/16/2017,24.469999,24.57,24.15,24.52,20.307508,1568600
6/19/2017,24.5,24.690001,24.18,24.58,20.357201,2068700
6/20/2017,24.559999,24.73,24.16,24.549999,20.332352,1713000
6/21/2017,24.6,24.73,24.48,24.5,20.290943,1085700
6/22/2017,24.549999,24.629999,24.219999,24.379999,20.191555,876500
6/23/2017,24.33,24.75,24.290001,24.610001,20.382046,1400800
6/26/2017,24.68,24.799999,24.469999,24.52,20.307508,1120500
6/27/2017,24.5,24.709999,24.34,24.35,20.166712,1641200
6/28/2017,24.360001,24.51,23.959999,24.030001,19.901688,1823000
6/29/2017,23.67,24.209999,23.59,23.84,19.968697,2647000
6/30/2017,23.92,24.120001,23.799999,24.040001,20.136221,1735600
7/3/2017,24.139999,24.35,23.99,24.23,20.295368,962200
7/5/2017,24.24,24.33,24.030001,24.08,20.169722,2258800
7/6/2017,23.98,24.059999,23.24,23.34,19.549892,2559400
7/7/2017,23.379999,23.5,23.25,23.43,19.625273,1309700
7/10/2017,23.42,23.42,22.9,22.940001,19.214846,1666100
7/11/2017,23,23.1,22.83,23,19.2651,1354300
7/12/2017,23.18,23.469999,23.08,23.34,19.549892,1634700
7/13/2017,23.389999,23.51,23.219999,23.379999,19.583395,850100
7/14/2017,23.610001,23.84,23.57,23.77,19.910063,940500
7/17/2017,23.77,24.17,23.700001,24.09,20.178102,1351700
7/18/2017,24.17,24.200001,23.879999,24.15,20.228355,1406600
7/19/2017,24.18,24.6,24.01,24.51,20.529898,1578400
7/20/2017,23.969999,24.35,23.809999,24.219999,20.286987,2381700
7/21/2017,24.17,24.35,23.98,24.120001,20.203232,1478600
