,Car model,Autonomy_WLTP_Km,DC Charging connector,DC charging protocol,DC_nominal_charge_power_KW,year,AC Charging connector,AC_nominal_charging,AC Charging Protocol,Car_type,Approx_Release_price_order_in_K$,Battery_Capacity_kWh,Source
0,Aston Martin RapidE,320,G High Charging Combo CCS up to 150 KW,DC ISO IEC 15118-2,150.0,2019,None,,,empty,empty,65,
1,Audi E tron s,362,G High Charging Combo CCS up to 150 KW,DC ISO IEC 15118-2,150.0,2020,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,SUV,70,86,
2,Audi Q6,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2018,None,,,SUV,empty,empty,
3,BMW i3,130,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50.0,2016,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,hatchback,empty,empty,
4,BMW i3 2.0,140,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50.0,2017,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,hatchback,40,42,
5,BMW Mini E,250,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50.0,2019,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,hatchback,empty,33,
6,Chevrolet Bolt,380,E Fast Charging Combo CCS up to 50 KW,DC ISO IEC 15118-2,50.0,2016,A Type 2 Mono up to 7KW,7.2,IEC 61851-1,Sedan,60,30,
7,Citroen E Mehari,200,None,,,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,hatchback,30,30,
8,Citroen Berlingo,110,F CHAdeMO up to 100KW,E CHAdeMO 100KW,50.0,2010,A Type 2 Mono up to 7KW,2.3,,Van,20,empty,
9,Citroen C  Zero,130,F CHAdeMO up to 100KW,E CHAdeMO 100KW,50.0,2010,A Type 2 Mono up to 7KW,3.7,,hatchback,20,14.5,
10,Daimler E Smart,120,None,,,2015,C Type 2 Tri up to 22W,22.0,IEC 61851-1,empty,empty,empty,
11,Daimler Smart ED,110,None,,,2015,C Type 2 Tri up to 22W,22.0,IEC 61851 1,empty,empty,empty,
12,Daimler EQC,414,G High Charging Combo CCS up to 150 KW,DIN 70121,110.0,2019,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,empty,empty,empty,
