Date_Year_Month,M1_MoneySupply
1/1/1959,138.9
2/1/1959,139.4
3/1/1959,139.7
4/1/1959,139.7
5/1/1959,140.7
6/1/1959,141.2
7/1/1959,141.7
8/1/1959,141.9
9/1/1959,141
10/1/1959,140.5
11/1/1959,140.4
12/1/1959,139.9
1/1/1960,140
2/1/1960,139.9
3/1/1960,139.8
4/1/1960,139.6
5/1/1960,139.6
6/1/1960,139.6
7/1/1960,140.2
8/1/1960,141.3
9/1/1960,141.2
10/1/1960,140.9
11/1/1960,140.9
12/1/1960,140.7
1/1/1961,141.1
2/1/1961,141.6
3/1/1961,141.9
4/1/1961,142.1
5/1/1961,142.7
6/1/1961,142.9
7/1/1961,142.9
8/1/1961,143.5
9/1/1961,143.8
10/1/1961,144.1
11/1/1961,144.8
12/1/1961,145.2
1/1/1962,145.2
2/1/1962,145.7
3/1/1962,146
4/1/1962,146.4
5/1/1962,146.8
6/1/1962,146.6
7/1/1962,146.5
8/1/1962,146.6
9/1/1962,146.3
10/1/1962,146.7
11/1/1962,147.3
12/1/1962,147.8
1/1/1963,148.3
2/1/1963,148.9
3/1/1963,149.2
4/1/1963,149.7
5/1/1963,150.4
6/1/1963,150.4
7/1/1963,151.3
8/1/1963,151.8
9/1/1963,152
10/1/1963,152.6
11/1/1963,153.6
12/1/1963,153.3
1/1/1964,153.7
2/1/1964,154.3
3/1/1964,154.5
4/1/1964,154.8
5/1/1964,155.3
6/1/1964,155.6
7/1/1964,156.8
8/1/1964,157.8
9/1/1964,158.7
10/1/1964,159.2
11/1/1964,160
12/1/1964,160.3
1/1/1965,160.7
2/1/1965,160.9
3/1/1965,161.5
4/1/1965,162
5/1/1965,161.7
6/1/1965,162.2
7/1/1965,163
8/1/1965,163.7
9/1/1965,164.8
10/1/1965,166
11/1/1965,166.7
12/1/1965,167.8
1/1/1966,169.1
2/1/1966,169.6
3/1/1966,170.5
4/1/1966,171.8
5/1/1966,171.3
6/1/1966,171.6
7/1/1966,170.3
8/1/1966,170.8
9/1/1966,172
10/1/1966,171.2
11/1/1966,171.4
12/1/1966,172
1/1/1967,171.9
2/1/1967,173
3/1/1967,174.8
4/1/1967,174.2
5/1/1967,175.7
6/1/1967,177
7/1/1967,178.1
8/1/1967,179.7
9/1/1967,180.7
10/1/1967,181.6
11/1/1967,182.4
12/1/1967,183.3
1/1/1968,184.3
2/1/1968,184.7
3/1/1968,185.5
4/1/1968,186.6
5/1/1968,188
6/1/1968,189.4
7/1/1968,190.5
8/1/1968,191.8
9/1/1968,192.7
10/1/1968,194
11/1/1968,196
12/1/1968,197.4
1/1/1969,198.7
2/1/1969,199.3
3/1/1969,200
4/1/1969,200.7
5/1/1969,200.8
6/1/1969,201.3
7/1/1969,201.7
8/1/1969,201.7
9/1/1969,202.1
10/1/1969,202.9
11/1/1969,203.6
12/1/1969,203.9
1/1/1970,206.2
2/1/1970,205
3/1/1970,205.7
4/1/1970,206.7
5/1/1970,207.2
6/1/1970,207.6
7/1/1970,208
8/1/1970,209.9
9/1/1970,211.8
10/1/1970,212.9
11/1/1970,213.7
12/1/1970,214.4
1/1/1971,215.5
2/1/1971,217.4
3/1/1971,218.8
4/1/1971,220
5/1/1971,222
6/1/1971,223.5
7/1/1971,224.9
8/1/1971,225.6
9/1/1971,226.5
10/1/1971,227.2
11/1/1971,227.8
12/1/1971,228.3
1/1/1972,230.1
2/1/1972,232.3
3/1/1972,234.3
4/1/1972,235.6
5/1/1972,235.9
6/1/1972,236.6
7/1/1972,238.8
8/1/1972,240.9
9/1/1972,243.2
10/1/1972,245
11/1/1972,246.4
12/1/1972,249.2
1/1/1973,251.5
2/1/1973,252.2
3/1/1973,251.7
4/1/1973,252.7
5/1/1973,254.9
6/1/1973,256.7
7/1/1973,257.5
8/1/1973,257.7
9/1/1973,257.9
10/1/1973,259
11/1/1973,261
12/1/1973,262.9
1/1/1974,263.8
2/1/1974,265.3
3/1/1974,266.7
4/1/1974,267.2
5/1/1974,267.6
6/1/1974,268.5
7/1/1974,269.3
8/1/1974,270.1
9/1/1974,271
10/1/1974,272.3
11/1/1974,273.7
12/1/1974,274.2
1/1/1975,273.9
2/1/1975,275
3/1/1975,276.4
4/1/1975,276.2
5/1/1975,279.2
6/1/1975,282.4
7/1/1975,283.7
8/1/1975,284.1
9/1/1975,285.7
10/1/1975,285.4
11/1/1975,286.8
12/1/1975,287.1
1/1/1976,288.4
2/1/1976,290.8
3/1/1976,292.7
4/1/1976,294.7
5/1/1976,295.9
6/1/1976,296.2
7/1/1976,297.2
8/1/1976,299
9/1/1976,299.6
10/1/1976,302
11/1/1976,303.6
12/1/1976,306.2
1/1/1977,308.3
2/1/1977,311.5
3/1/1977,313.9
4/1/1977,316
5/1/1977,317.2
6/1/1977,318.8
7/1/1977,320.2
8/1/1977,322.3
9/1/1977,324.5
10/1/1977,326.4
11/1/1977,328.6
12/1/1977,330.9
1/1/1978,334.4
2/1/1978,335.3
3/1/1978,337
4/1/1978,339.9
5/1/1978,344.9
6/1/1978,346.9
7/1/1978,347.6
8/1/1978,349.6
9/1/1978,352.2
10/1/1978,353.3
11/1/1978,355.4
12/1/1978,357.3
1/1/1979,358.6
2/1/1979,359.9
3/1/1979,362.5
4/1/1979,368
5/1/1979,369.6
6/1/1979,373.4
7/1/1979,377.2
8/1/1979,378.8
9/1/1979,379.3
10/1/1979,380.8
11/1/1979,380.8
12/1/1979,381.8
1/1/1980,385.8
2/1/1980,390.1
3/1/1980,388.4
4/1/1980,383.8
5/1/1980,384.8
6/1/1980,389.1
7/1/1980,394
8/1/1980,399.2
9/1/1980,404.8
10/1/1980,409
11/1/1980,410.7
12/1/1980,408.5
1/1/1981,411.3
2/1/1981,414.8
3/1/1981,419
4/1/1981,427.4
5/1/1981,424.7
6/1/1981,425.2
7/1/1981,426.9
8/1/1981,426.9
9/1/1981,427
10/1/1981,428.4
11/1/1981,431.3
12/1/1981,436.7
1/1/1982,442.7
2/1/1982,441.9
3/1/1982,442.7
4/1/1982,447.1
5/1/1982,446.7
6/1/1982,447.5
7/1/1982,448
8/1/1982,451.4
9/1/1982,456.9
10/1/1982,464.5
11/1/1982,471.5
12/1/1982,474.8
1/1/1983,477.2
2/1/1983,484.3
3/1/1983,490.6
4/1/1983,493.2
5/1/1983,500
6/1/1983,504
7/1/1983,507.8
8/1/1983,510.5
9/1/1983,512.8
10/1/1983,517.2
11/1/1983,519
12/1/1983,521.4
1/1/1984,525.1
2/1/1984,527.5
3/1/1984,531.4
4/1/1984,535
5/1/1984,536.7
6/1/1984,540.2
7/1/1984,540.9
8/1/1984,541
9/1/1984,543.1
10/1/1984,543.7
11/1/1984,547.5
12/1/1984,551.6
1/1/1985,557
2/1/1985,563.6
3/1/1985,566.6
4/1/1985,570.4
5/1/1985,575.1
6/1/1985,582.3
7/1/1985,589.1
8/1/1985,596.2
9/1/1985,603.3
10/1/1985,607.8
11/1/1985,612.2
12/1/1985,619.8
1/1/1986,621.4
2/1/1986,625.2
3/1/1986,633.5
4/1/1986,641
5/1/1986,652
6/1/1986,660.6
7/1/1986,670.3
8/1/1986,678.7
9/1/1986,687.4
10/1/1986,694.9
11/1/1986,705.4
12/1/1986,724.7
1/1/1987,730.2
2/1/1987,730.7
3/1/1987,733.8
4/1/1987,743.9
5/1/1987,745.8
6/1/1987,743.2
7/1/1987,743
8/1/1987,744.9
9/1/1987,747.6
10/1/1987,756.2
11/1/1987,753.2
12/1/1987,750.2
1/1/1988,756.2
2/1/1988,757.7
3/1/1988,761.8
4/1/1988,768.1
5/1/1988,771.7
6/1/1988,778.3
7/1/1988,781.4
8/1/1988,783.3
9/1/1988,783.7
10/1/1988,783.3
11/1/1988,784.9
12/1/1988,786.7
1/1/1989,785.7
2/1/1989,783.8
3/1/1989,783
4/1/1989,779.2
5/1/1989,775
6/1/1989,773.5
7/1/1989,777.8
8/1/1989,779.4
9/1/1989,781
10/1/1989,786.6
11/1/1989,787.9
12/1/1989,792.9
1/1/1990,795.4
2/1/1990,798.1
3/1/1990,801.5
4/1/1990,806.1
5/1/1990,804.2
6/1/1990,808.8
7/1/1990,810.1
8/1/1990,815.7
9/1/1990,820.2
10/1/1990,819.9
11/1/1990,822.1
12/1/1990,824.7
1/1/1991,827.2
2/1/1991,832.6
3/1/1991,838.7
4/1/1991,843.1
5/1/1991,848.8
6/1/1991,856.7
7/1/1991,861.6
8/1/1991,866.8
9/1/1991,869.7
10/1/1991,878
11/1/1991,887.6
12/1/1991,897
1/1/1992,910.4
2/1/1992,925.2
3/1/1992,936.7
4/1/1992,943.8
5/1/1992,950.6
6/1/1992,954.3
