Date,Dividends
2/21/1973,0.017188
8/22/1983,0.05625
11/21/1983,0.05625
2/17/1984,0.05625
5/22/1984,0.05875
8/22/1984,0.05875
11/26/1984,0.05875
2/22/1985,0.05875
5/24/1985,0.06125
8/26/1985,0.06125
11/22/1985,0.06125
2/24/1986,0.06125
5/23/1986,0.06375
8/25/1986,0.06375
11/21/1986,0.06375
3/2/1987,0.06375
5/22/1987,0.06625
8/25/1987,0.06625
11/23/1987,0.06625
2/29/1988,0.06625
5/23/1988,0.06875
8/22/1988,0.06875
11/21/1988,0.06875
2/17/1989,0.06875
5/16/1989,0.07125
8/28/1989,0.07125
11/28/1989,0.07125
2/22/1990,0.07125
5/24/1990,0.07375
8/27/1990,0.07375
12/3/1990,0.07375
2/22/1991,0.07375
5/24/1991,0.075
8/26/1991,0.075
11/27/1991,0.075
2/24/1992,0.075
5/22/1992,0.07625
8/24/1992,0.07625
11/20/1992,0.07625
2/26/1993,0.07625
5/24/1993,0.0775
8/23/1993,0.0775
11/19/1993,0.0775
2/18/1994,0.0775
5/23/1994,0.0525
8/22/1994,0.0525
11/18/1994,0.0525
2/17/1995,0.055
5/22/1995,0.055
8/23/1995,0.055
11/21/1995,0.055
2/21/1996,0.0575
5/29/1996,0.0575
8/28/1996,0.0575
11/26/1996,0.0575
2/26/1997,0.06
5/28/1997,0.06
8/27/1997,0.06
11/25/1997,0.06
2/25/1998,0.0625
5/27/1998,0.0625
8/26/1998,0.0625
11/24/1998,0.0625
2/24/1999,0.065
5/26/1999,0.065
8/25/1999,0.065
11/23/1999,0.065
2/23/2000,0.0675
5/24/2000,0.0675
8/23/2000,0.0675
11/21/2000,0.0675
2/21/2001,0.07
5/23/2001,0.07
8/29/2001,0.07
11/28/2001,0.07
2/20/2002,0.0725
6/5/2002,0.0725
8/28/2002,0.0725
11/26/2002,0.0725
2/26/2003,0.075
6/4/2003,0.075
8/27/2003,0.075
11/25/2003,0.075
2/25/2004,0.0775
6/2/2004,0.0775
8/25/2004,0.085
11/23/2004,0.085
3/2/2005,0.08875
6/1/2005,0.08875
8/24/2005,0.08875
11/22/2005,0.08875
3/3/2006,0.09375
6/7/2006,0.09375
8/23/2006,0.09375
11/21/2006,0.09375
2/28/2007,0.1025
6/6/2007,0.1025
8/29/2007,0.1025
11/28/2007,0.1025
2/27/2008,0.11125
6/4/2008,0.11125
8/27/2008,0.11125
11/25/2008,0.11125
2/25/2009,0.11825
6/3/2009,0.11825
8/26/2009,0.11825
11/24/2009,0.11825
2/24/2010,0.125
6/2/2010,0.125
8/25/2010,0.125
11/23/2010,0.125
3/2/2011,0.1375
6/1/2011,0.1375
8/24/2011,0.1375
11/22/2011,0.1375
2/29/2012,0.15
5/31/2012,0.15
8/29/2012,0.15
11/28/2012,0.15
2/27/2013,0.165
5/30/2013,0.165
8/28/2013,0.165
11/26/2013,0.165
2/26/2014,0.18125
5/29/2014,0.18125
8/27/2014,0.18125
11/25/2014,0.18125
2/25/2015,0.1925
5/27/2015,0.1925
8/26/2015,0.1925
11/24/2015,0.1925
2/24/2016,0.2175
5/26/2016,0.2175
8/26/2016,0.2175
11/22/2016,0.2175
2/24/2017,0.24575
5/25/2017,0.24575
8/23/2017,0.24575
11/22/2017,0.24575
2/26/2018,0.2775
6/4/2018,0.2775
8/29/2018,0.2775
11/29/2018,0.2775
2/27/2019,0.3125
5/31/2019,0.3125
8/28/2019,0.3125
11/27/2019,0.3125
2/27/2020,0.35
6/1/2020,0.35
8/27/2020,0.35
11/25/2020,0.35
2/25/2021,0.385
6/1/2021,0.385
8/26/2021,0.385
11/24/2021,0.385
