Date,Open,High,Low,Close,Adj Close,Volume
3/3/2017,90.910004,90.910004,89.889999,90.5,78.684326,8334900
3/6/2017,89.889999,90.510002,89.589996,90.370003,78.571304,9533800
3/7/2017,90.139999,90.489998,90.059998,90.290001,78.501755,5363000
3/8/2017,90.019997,90.349998,89.760002,90.139999,78.371338,5503700
3/9/2017,90.139999,90.489998,90.099998,90.339996,78.545219,5587400
3/10/2017,90.800003,91.160004,90.650002,91.07,79.179909,6797800
3/13/2017,91.059998,91.489998,90.849998,91.309998,79.388573,7397500
3/14/2017,91.260002,91.589996,90.82,91,79.119034,6686400
3/15/2017,91,91.779999,90.730003,91.400002,79.466827,7855300
3/16/2017,91.440002,91.720001,91.099998,91.440002,79.501602,6601200
3/17/2017,91.449997,92,90.919998,91,79.119034,37010100
3/20/2017,90.959999,91.410004,90.940002,91.220001,79.310326,7772900
3/21/2017,91.300003,91.75,91.029999,91.190002,79.284241,8211000
3/22/2017,91.309998,91.800003,90.75,90.989998,79.110367,7798000
3/23/2017,90.910004,91.459999,90.599998,90.769997,78.919083,6831400
3/24/2017,90.769997,90.919998,90.209999,90.57,78.745193,9252000
3/27/2017,90.449997,90.720001,90.18,90.489998,78.675652,10072000
3/28/2017,90.169998,91.059998,90.129997,90.760002,78.910385,11855800
3/29/2017,90.559998,90.870003,90.389999,90.599998,78.771278,4252800
3/30/2017,90.5,90.57,90.099998,90.199997,78.423492,3691900
3/31/2017,90.029999,90.339996,89.839996,89.849998,78.119179,6942400
4/3/2017,89.860001,90.059998,89.449997,89.68,77.971405,6967400
4/4/2017,89.75,89.959999,89.419998,89.910004,78.171371,5680800
4/5/2017,90,90.5,89.760002,89.970001,78.223534,6320100
4/6/2017,89.769997,89.809998,89.309998,89.400002,77.727959,7231500
4/7/2017,89.459999,89.610001,89.18,89.230003,77.580162,4739100
4/10/2017,89.129997,89.68,88.75,89.489998,77.806175,5956000
4/11/2017,89.660004,89.82,89.290001,89.800003,78.075729,5186000
4/12/2017,89.699997,90.419998,89.559998,90.309998,78.519127,6286300
4/13/2017,90.050003,90.540001,89.790001,90.029999,78.275696,5040100
4/17/2017,90.230003,90.589996,90.129997,90.389999,78.588699,6931700
4/18/2017,90.400002,91.129997,90.339996,90.800003,78.94516,7087800
