Date,Dividends
3/26/1973,0.11475
9/26/1985,0.22
12/26/1985,0.22
3/26/1986,0.22
6/26/1986,0.2375
9/30/1986,0.2375
12/26/1986,0.2375
3/31/1987,0.2375
6/25/1987,0.2525
9/29/1987,0.2525
12/28/1987,0.2525
3/28/1988,0.2525
6/28/1988,0.265
9/27/1988,0.265
12/28/1988,0.265
3/28/1989,0.265
7/3/1989,0.2775
9/26/1989,0.2775
12/26/1989,0.2775
4/3/1990,0.2775
7/3/1990,0.29
9/25/1990,0.29
12/26/1990,0.29
4/2/1991,0.29
7/5/1991,0.3025
9/25/1991,0.3025
12/26/1991,0.3025
4/2/1992,0.3025
7/2/1992,0.315
9/25/1992,0.315
12/28/1992,0.315
4/2/1993,0.315
7/1/1993,0.3225
9/27/1993,0.3225
12/29/1993,0.3225
4/4/1994,0.3225
7/1/1994,0.33
9/27/1994,0.33
12/30/1994,0.33
4/3/1995,0.33
7/11/1995,0.3375
9/28/1995,0.3375
12/28/1995,0.3375
4/8/1996,0.3375
7/9/1996,0.345
9/27/1996,0.345
12/31/1996,0.345
4/7/1997,0.345
7/7/1997,0.3525
9/29/1997,0.3525
12/30/1997,0.3525
4/6/1998,0.3525
7/7/1998,0.358
9/29/1998,0.358
12/30/1998,0.358
4/5/1999,0.358
7/6/1999,0.363
9/29/1999,0.363
12/31/1999,0.363
4/11/2000,0.363
7/11/2000,0.368
8/21/2000,0.159
10/4/2000,0.218
12/28/2000,0.375
3/29/2001,0.375
7/5/2001,0.375
9/28/2001,0.375
12/28/2001,0.375
4/4/2002,0.375
7/3/2002,0.375
10/3/2002,0.188
12/31/2002,0.188
6/5/2003,0.188
7/2/2003,0.188
12/11/2003,0.188
12/30/2003,0.188
3/31/2004,0.188
6/30/2004,0.208
9/29/2004,0.208
12/30/2004,0.208
3/29/2005,0.208
6/28/2005,0.215
9/27/2005,0.215
12/29/2005,0.215
3/28/2006,0.215
6/27/2006,0.223
9/26/2006,0.223
12/26/2006,0.223
3/27/2007,0.223
6/26/2007,0.23
9/25/2007,0.23
12/24/2007,0.23
3/25/2008,0.23
6/24/2008,0.238
9/23/2008,0.238
12/24/2008,0.238
3/24/2009,0.238
6/23/2009,0.245
9/22/2009,0.245
12/22/2009,0.245
3/23/2010,0.245
6/22/2010,0.253
9/21/2010,0.253
12/21/2010,0.253
3/22/2011,0.253
6/21/2011,0.26
9/20/2011,0.26
12/22/2011,0.26
3/20/2012,0.26
6/19/2012,0.27
9/18/2012,0.27
12/24/2012,0.27
3/19/2013,0.27
6/18/2013,0.28
9/17/2013,0.28
12/24/2013,0.28
3/18/2014,0.3
6/17/2014,0.3
9/16/2014,0.3
12/23/2014,0.3
3/13/2015,0.32
6/16/2015,0.32
9/15/2015,0.32
12/22/2015,0.32
3/11/2016,0.34
6/14/2016,0.34
9/13/2016,0.34
12/22/2016,0.34
3/13/2017,0.36
6/13/2017,0.36
9/14/2017,0.36
12/27/2017,0.36
3/14/2018,0.38
6/14/2018,0.38
9/13/2018,0.38
12/27/2018,0.38
3/14/2019,0.405
6/13/2019,0.405
9/12/2019,0.405
12/24/2019,0.405
3/12/2020,0.43
6/12/2020,0.43
9/14/2020,0.43
12/22/2020,0.43
3/12/2021,0.458
6/14/2021,0.458
9/14/2021,0.458
12/21/2021,0.458
