Date,Open,High,Low,Close,Adj Close,Volume
1/27/2017,85.300003,85.75,85.040001,85.510002,65.849709,10947900
1/30/2017,85.419998,85.449997,84.18,84.860001,65.349167,12789200
1/31/2017,85.040001,85.07,83.129997,83.889999,64.602203,19128100
2/1/2017,84,84.160004,82.540001,82.940002,63.870598,15111800
2/2/2017,83.209999,83.529999,82.550003,83.449997,64.263351,12200100
2/3/2017,83.699997,83.720001,82.900002,83.540001,64.332664,12746300
2/6/2017,83.550003,83.650002,82.93,83.309998,64.155533,9938200
2/7/2017,83.230003,83.620003,82.449997,82.769997,63.739677,11705200
2/8/2017,81.989998,82.120003,81.169998,81.480003,63.320057,14006300
2/9/2017,81.480003,82.050003,81.480003,81.839996,63.599812,9603000
2/10/2017,82.260002,82.769997,82.129997,82.519997,64.128242,8739800
2/13/2017,82.769997,83.18,82.349998,83,64.501282,9071600
2/14/2017,82.910004,83.099998,82.059998,82.82,64.361389,11370500
2/15/2017,82.639999,83.18,82.459999,83.160004,64.625618,11768500
2/16/2017,83.120003,83.419998,82.169998,82.300003,63.957283,10615000
2/17/2017,82.089996,82.190002,81.440002,81.760002,63.537647,15646000
2/21/2017,82.120003,82.150002,81.300003,81.889999,63.63866,16419600
2/22/2017,81.650002,81.699997,80.870003,80.93,62.892628,12917400
2/23/2017,81.419998,82.220001,81.029999,81.779999,63.553185,13847000
2/24/2017,81.599998,81.800003,80.760002,81.080002,63.00919,11338700
2/27/2017,81.129997,81.709999,80.809998,81.540001,63.366669,13465900
2/28/2017,81.529999,81.989998,81.050003,81.32,63.195698,16834200
3/1/2017,81.699997,83.330002,81.699997,83.019997,64.516808,17482100
3/2/2017,82.800003,84.25,82.790001,83.300003,64.734413,14170300
3/3/2017,83.300003,83.599998,82.260002,82.459999,64.081612,12190400
3/6/2017,82.440002,82.900002,82.330002,82.830002,64.369171,9617200
3/7/2017,83.110001,83.290001,82.139999,82.519997,64.128242,12711500
3/8/2017,82.349998,82.379997,81.010002,81.029999,62.970352,16817700
3/9/2017,80.639999,81.720001,80.309998,81.669998,63.467674,14721800
