,Adjective,Sentence,Noun
0,"['OUTWARD', 'PERPENDICULAR', 'FRONT']",L TWO HANDED OUTWARD HEEL OF R HAND TO TO ACROSS FACE AND CRANE INTO GROIN WHILE PIVOTING ON R BALL OF FOOT SO IT IS PERPENDICULAR TO L FOOT AND BENDING R KNEE ALMOST TO CRANE INTO GROIN AND UP BODY STRIKING JAW WHILE PULLING L ARM INTO YOUR RAISE UP INTO R FRONT SNAP KICK AND R PALM TO FACE,GROIN
1,"['CIRCULAR', 'CHINESE', 'SOLAR']",R STEP BACK L WITH L OPEN HAND OUTWARD R HALF FIST CIRCULAR HIT INTO MID R CHINESE FIST TO SOLAR R PHOENIX TO OPPONENTS L EYE,PHOENIX
2,"['OUTWARD', 'SOLAR', 'CHINESE']",R L OUTWARD R STEP INTO L R HAMMER FIST TO SOLAR R HAMMER FIST TO BASE OF CHINESE FIST TO UNDER CHINESE FIST ACROSS EYES AND FULL CIRCLE TO CHIN WHILE GOING INTO CAT DOUBLE GOUGE EYES WITH CHINESE FIST,CIRCLE
3,"['PARALLEL', 'SCOOP', 'CLOSE']",R PUNCH R LEG L L INWARD R CATCH R STEP PAST SO YOUR L HIP IS PARALLEL WITH HIS R R HEEL SCOOP TO R SHOOT OUT R L SHUFFLE DROP R KNEE ON R PUNCH R POKE L STEP UP INTO CLOSE,INWARD
4,"['RIGHT', 'FRONT', 'SCOOP']",COMBINATION RIGHT PUNCH AND RIGHT FRONT SNAP STEP BACK INTO HORSE WITH L SPLIT HARD L HAND R HAND BOTH HANDS R SCOOP KICK TO R SIDE KICK TO STANDING TURN TO L AND PLANT INTO A HORSE,HANDS
5,"['RIGHT', 'OUTWARD', 'SOLAR']",RIGHT STEP IN WITH R FOOT WHILE BREAKING ATTACKER HOLD WITH L OUTWARD OPEN R PUNCH TO SOLAR R KNEE TO AS ATTACKER BENDS OVER MEET HIS CHIN WITH R THRUSTING UPWARD THEN R KNIFE EDGE HAND INTO REMAIN IN L COVER,REMAIN
6,"['RIGHT', 'DOWNWARD', 'LOWER']",RIGHT R R DOWNWARD INWARD OPEN HAND R 45 TO L SPINNING HOOK KICK TO LOWER TOUCH DOWN 90 DEGREES TO THE,INWARD
7,"['RIGHT', 'OUTWARD', 'SOLAR']",RIGHT R L OUTWARD R HAND BREAKS THROW ARM TO R HEEL PALM TO R SIDE THRUST TO R BACK KICK TO SOLAR L INTO A ATTENTION,THRUST
8,"['OUTWARD', 'OPPONENT', 'OPPOSITE']",R ROUNDHOUSE STEP IN R L HAND BLOCKING ARM AT TURN WRIST OUTWARD WITH R CHOP TO GRAB BOTH SHOULDERS FOR SLIDE L FOOT UP TO R AND R KNEE INTO PLANT STRAIGHT STEP BACK L FOOT AND SWING OPPONENT INTO WALL WITH WITH R ARM HIGH AND PINNED AGAINST THROAT WITH SIMULTANEOUS R ROUNDHOUSE KNEE INTO STEP BACK L FOOT INTO HORSE WITH BACK TO WALL AND THROW OPPONENT TO GROUND BREAKING HIS R ELBOW OVER YOUR L R FRONT KICK TO R HEEL KICK TO OPPOSITE LANDING WITH R KNEE ON THROAT AND R POKE OT STEP OUT WITH R SIDE KICK TO JAW,THROAT
9,"['OUTWARD', 'DOUBLE', 'DOWNWARD', 'FRONT']",HAND GRAB FROM L STEP IN WITH L FOOT WITH OUTWARD DOUBLE DOWNWARD CHOPS TO COLLAR DOUBLE FLAT PUNCH TO R FRONT SNAP KICK TO R PALM TO FACE,COLLAR
10,"['OUTWARD', 'SPREAD', 'FRONT']",R L OPEN OUTWARD R POKE EYES WITH SPREAD PHOENIX GRAB BOTH HANDS FROM EYES AND SWING ARMS OUTWARD AND AWAY FROM R FRONT SNAP KICK TO STOMACH WHILE HOLDING ARMS AWAY FROM BODY,HANDS
11,"['OUTWARD', 'REVERSE', 'OPPOSITE']",R PIVOT INTO R L OUTWARD STEP IN R WITH REVERSE HAMMER FIST TO R SIDE OF L HAMMER FIST TO L SIDE OF R HAND TO BACK OF NECK FACING AND L CLAW TO FRONT OF FACE AWAY FROM AND RIP IN OPPOSITE DIRECTIONS,FACING
12,"['CLOSED', 'DOWNWARD', 'FRONT', 'SCOOP']",L FRONT STEP BACK INTO L COVER FACING OPPONENT WITH R CLOSED FIST DOWNWARD BLOCK TO L FRONT SNAP KICK TO PLANT R PUNCH TO R KICK TO FORWARD PIVOT AND HEEL SCOOP TO BACK KICK TO BODY,FORWARD
13,"['RIGHT', 'SCOOP', 'OPPOSITE']",RUNNING R L INWARD BLOCK AND TAKE HOLDING ANKLE IN PALM OF L HAND R PALM FIRM ON BRING R HAND OVER AND GRAB STEP BACK INTO HORSE WHILE PULLING HEEL IN AN ARC OVER AND BEYOND YOUR RIGHT LEG AND LET TOP OF HIS FOOT FALL ON YOUR R WRIST STEP FORWARD WITH L FOOT AND SCOOP GROIN WITH HEEL STOMP TOSMALL OF SHUFFLE FORWARD AND CHOP TO EITHER SIDE OF HOLD HEAD DOWN WITH L HAND AND RAKE UPWARD ON FACE WITH R HAND PUNCH TO FACE WITH R HAND THIS CAN ALSO BE DONE WITH THE OPPOSITE HANDS,UPWARD
14,"['SMALL', 'DOUBLE', 'RIGHT']",RIGHT LEFT 45 AND THROW MAN ONE INTO THE FEET OF MAN SMALL SHUFFLE BACK WITH DOUBLE HAND RAKE HAND OVER TO RIGHT SHUFFLE AROUND TO FACE FORWARD,SHUFFLE
15,"['CHINESE', 'SCOOP', 'GROIN']",R WIDE 45 TO R WITH L OUTWARD R CHINESE FIST TO NEAR STEP BETWEEN LEGS WITH R 90 DEGREES TO HIS R FOOT BEHIND IT YOUR R KNEE TAKES OUT HIS R LEAN AWAY TO L BACK HEEL SCOOP TO GROIN R BACK THRUST AWAY,THRUST
16,"['BROKEN', 'OUTWARD', 'SOLAR', 'ACROSS']",R SLASHING BROKEN BEER BOTTLE TO L OUTWARD STEP IN WITH R BACK KNUCKLE TO SOLAR PLEXUS FOLLOWED BY R ELBOW POINT TO SAME L HAND GRAB WRIST R REVERSE HAMMER FIST TO BREAK ELBOW MAKE HIM DROP R ELBOW TO RAISE CHIN R HAMMER FIST L TO ACROSS PIVOT TO L 180 DEGREES R THRUSTING AWAY BACK KICK,KNUCKLE
17,"['OUTWARD', 'RIGHT', 'CLOSE']",TWO HAND CHOKE TO FROM L L FRONT SNAP KICK TO CROTCH PLANT BACK INTO L COVER WITH TWO HAND OUTWARD CIRCLE AROUND BOTH ARMS SNAP ELBOWS PULL YOUR HANDS DOWN ON TOP OF HIS ARMS FLING EACH HAND AWAY FROM GRAB WRISTS BRING BACK IN CROSSING THEM IN FRONT OF YOU WITH YOUR RIGHT HAND NEXT TO YOUR LET GO OF CLOSE FIST AGAIN DOUBLE BACK FIST TO TEMPLES,CROSSING
18,"['DOWNWARD', 'CLOSED', 'LOWER']",L L TO WITH R DOWNWARD CLOSED FIST L ARM IS IN A HIGH BLOCKING POSITION FOR L LEAN TO R WITH R UPPER CUT TO LOWER L GRABS TOP OF HEAD AND PULLS TO L R HAND HEEL HITS INTO CHIN AND PUSH ON THROUGH,UPPER
