Date,Dividends
8/29/2011,0.21
11/28/2006,0.35
5/30/2007,0.38
3/7/2007,0.38
5/26/2011,0.21
11/26/2010,0.2
2/26/2015,0.3
8/27/2015,0.3
11/26/2002,0.21
5/28/2003,0.23
8/29/2007,0.38
3/12/2008,0.41
2/26/2002,0.21
8/27/2003,0.23
6/1/2016,0.33
11/29/2018,0.46
5/28/2020,0.54
11/25/2014,0.28
8/29/2016,0.33
5/30/2012,0.22
2/27/2019,0.5
3/9/2011,0.21
8/27/2020,0.54
11/28/2007,0.38
5/26/2010,0.2
8/27/2014,0.28
3/1/2012,0.22
2/25/2016,0.33
11/27/2020,0.54
11/25/2003,0.24
5/29/2002,0.21
8/29/2006,0.35
5/26/2006,0.35
8/27/2010,0.2
2/28/2020,0.54
8/28/2002,0.21
2/26/2003,0.23
11/27/2019,0.5
5/30/2019,0.5
11/28/2011,0.21
5/27/2015,0.3
11/25/2015,0.3
8/29/2019,0.5
11/25/2008,0.41
2/26/2013,0.25
5/27/2009,0.2
8/28/2013,0.25
3/9/2005,0.32
11/28/2000,0.17
5/29/2001,0.19
8/29/2005,0.32
5/26/2005,0.32
8/27/2009,0.2
11/26/2004,0.28
8/29/2001,0.19
2/25/2004,0.28
11/28/2016,0.33
5/30/2018,0.46
3/3/2021,0.81
2/24/2017,0.37
5/28/2014,0.28
2/25/2000,0.17
11/28/2012,0.22
8/30/2018,0.46
11/28/2005,0.32
5/28/2008,0.41
11/25/2009,0.2
3/8/2006,0.35
8/29/2012,0.22
2/27/2014,0.28
6/1/2017,0.37
11/28/2001,0.19
5/26/2004,0.28
8/27/2008,0.41
3/11/2009,0.2
3/2/2018,0.46
2/26/2001,0.19
8/29/2000,0.17
5/26/2000,0.17
11/29/2017,0.37
8/27/2004,0.28
11/26/2013,0.25
8/29/2017,0.37
5/29/2013,0.25
3/10/2010,0.2
