,Date,CO2,adjusted CO2
0,1958-03-01,315.7,314.44
1,1958-04-01,317.46,315.16
2,1958-05-01,317.51,314.71
3,1958-07-01,315.86,315.19
4,1958-08-01,314.93,316.19
5,1958-09-01,313.21,316.08
6,1958-11-01,313.33,315.2
7,1958-12-01,314.67,315.43
8,1959-01-01,315.58,315.54
9,1959-02-01,316.49,315.86
10,1959-03-01,316.65,315.38
11,1959-04-01,317.72,315.42
12,1959-05-01,318.29,315.49
13,1959-06-01,318.15,316.03
14,1959-07-01,316.54,315.86
15,1959-08-01,314.8,316.06
16,1959-09-01,313.84,316.73
17,1959-10-01,313.33,316.33
18,1959-11-01,314.81,316.68
19,1959-12-01,315.58,316.35
20,1960-01-01,316.43,316.39
21,1960-02-01,316.98,316.35
22,1960-03-01,317.58,316.28
23,1960-04-01,319.03,316.7
24,1960-05-01,320.04,317.22
25,1960-06-01,319.58,317.48
26,1960-07-01,318.18,317.52
27,1960-08-01,315.9,317.2
28,1960-09-01,314.17,317.08
29,1960-10-01,313.83,316.83
30,1960-11-01,315.0,316.88
31,1960-12-01,316.19,316.96
32,1961-01-01,316.9,316.85
33,1961-02-01,317.7,317.07
34,1961-03-01,318.54,317.26
35,1961-04-01,319.48,317.16
36,1961-05-01,320.58,317.76
37,1961-06-01,319.77,317.63
38,1961-07-01,318.57,317.88
39,1961-08-01,316.79,318.06
40,1961-09-01,314.99,317.9
41,1961-10-01,315.31,318.32
42,1961-11-01,316.1,317.99
43,1961-12-01,317.01,317.78
44,1962-01-01,317.94,317.9
45,1962-02-01,318.55,317.92
46,1962-03-01,319.68,318.4
47,1962-04-01,320.57,318.24
48,1962-05-01,321.02,318.18
49,1962-06-01,320.62,318.47
50,1962-07-01,319.61,318.93
51,1962-08-01,317.4,318.68
52,1962-09-01,316.25,319.17
53,1962-10-01,315.42,318.44
54,1962-11-01,316.69,318.58
55,1962-12-01,317.7,318.47
56,1963-01-01,318.74,318.7
57,1963-02-01,319.07,318.43
58,1963-03-01,319.86,318.57
59,1963-04-01,321.38,319.05
60,1963-05-01,322.25,319.4
61,1963-06-01,321.48,319.33
62,1963-07-01,319.74,319.06
63,1963-08-01,317.77,319.05
64,1963-09-01,316.21,319.14
65,1963-10-01,315.99,319.02
66,1963-11-01,317.07,318.97
67,1963-12-01,318.35,319.13
68,1964-01-01,319.57,319.53
69,1964-05-01,322.26,319.4
70,1964-06-01,321.89,319.75
71,1964-07-01,320.44,319.78
72,1964-08-01,318.69,320.01
73,1964-09-01,316.7,319.66
74,1964-10-01,316.87,319.91
75,1964-11-01,317.68,319.58
76,1964-12-01,318.71,319.49
77,1965-01-01,319.44,319.4
78,1965-02-01,320.44,319.81
79,1965-03-01,320.89,319.59
80,1965-04-01,322.14,319.78
81,1965-05-01,322.17,319.3
82,1965-06-01,321.87,319.7
83,1965-07-01,321.21,320.52
84,1965-08-01,318.87,320.16
85,1965-09-01,317.81,320.77
86,1965-10-01,317.3,320.36
87,1965-11-01,318.87,320.78
88,1965-12-01,319.42,320.2
89,1966-01-01,320.62,320.58
90,1966-02-01,321.6,320.95
91,1966-03-01,322.39,321.08
92,1966-04-01,323.7,321.34
93,1966-05-01,324.08,321.2
