,Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
0,3,A1 SH,SHRIMPLIN,2793.0,77.45,0.664,9.9,11.915,4.6,1,1.0
1,3,A1 SH,SHRIMPLIN,2793.5,78.26,0.661,14.2,12.565,4.1,1,0.979
2,3,A1 SH,SHRIMPLIN,2794.0,79.05,0.658,14.8,13.05,3.6,1,0.957
3,3,A1 SH,SHRIMPLIN,2794.5,86.1,0.655,13.9,13.115,3.5,1,0.936
4,3,A1 SH,SHRIMPLIN,2795.0,74.58,0.647,13.5,13.3,3.4,1,0.915
5,3,A1 SH,SHRIMPLIN,2795.5,73.97,0.636,14.0,13.385,3.6,1,0.894
6,3,A1 SH,SHRIMPLIN,2796.0,73.72,0.63,15.6,13.93,3.7,1,0.872
7,3,A1 SH,SHRIMPLIN,2796.5,75.65,0.625,16.5,13.92,3.5,1,0.83
8,3,A1 SH,SHRIMPLIN,2797.0,73.79,0.624,16.2,13.98,3.4,1,0.809
9,3,A1 SH,SHRIMPLIN,2797.5,76.89,0.615,16.9,14.22,3.5,1,0.787
10,3,A1 SH,SHRIMPLIN,2798.0,76.11,0.6,14.8,13.375,3.6,1,0.766
11,3,A1 SH,SHRIMPLIN,2798.5,74.95,0.583,13.3,12.69,3.7,1,0.745
12,3,A1 SH,SHRIMPLIN,2799.0,71.87,0.561,11.3,12.475,3.5,1,0.723
13,3,A1 SH,SHRIMPLIN,2799.5,83.42,0.537,13.3,14.93,3.4,1,0.702
14,2,A1 SH,SHRIMPLIN,2800.0,90.1,0.519,14.3,16.555,3.2,1,0.681
15,2,A1 SH,SHRIMPLIN,2800.5,78.15,0.467,11.8,15.96,3.1,1,0.638
16,2,A1 SH,SHRIMPLIN,2801.0,69.3,0.438,9.5,15.12,3.1,1,0.617
17,2,A1 SH,SHRIMPLIN,2801.5,63.54,0.418,8.8,15.19,3.0,1,0.596
18,2,A1 SH,SHRIMPLIN,2802.0,63.87,0.401,7.2,15.39,2.9,1,0.574
19,2,A1 SH,SHRIMPLIN,2802.5,58.32,0.386,6.6,14.885,2.8,1,0.553
20,2,A1 SH,SHRIMPLIN,2803.0,56.61,0.369,5.5,14.8,3.0,1,0.532
21,2,A1 SH,SHRIMPLIN,2803.5,55.97,0.352,6.1,14.46,3.0,1,0.511
22,2,A1 SH,SHRIMPLIN,2804.0,63.67,0.344,6.0,14.745,3.0,1,0.489
23,2,A1 SH,SHRIMPLIN,2804.5,66.2,0.342,6.8,15.135,3.0,1,0.468
24,2,A1 SH,SHRIMPLIN,2805.0,61.27,0.346,6.1,15.48,3.0,1,0.447
25,3,A1 SH,SHRIMPLIN,2805.5,69.48,0.354,5.8,14.675,3.0,1,0.404
26,3,A1 SH,SHRIMPLIN,2806.0,76.37,0.354,5.2,13.635,3.0,1,0.383
27,2,A1 SH,SHRIMPLIN,2806.5,82.2,0.348,7.4,15.055,3.0,1,0.362
28,2,A1 SH,SHRIMPLIN,2807.0,90.25,0.346,11.5,20.23,3.1,1,0.34
29,2,A1 SH,SHRIMPLIN,2807.5,94.38,0.358,14.2,24.015,3.0,1,0.319
30,2,A1 SH,SHRIMPLIN,2808.0,87.44,0.377,13.9,23.58,3.1,1,0.298
31,2,A1 SH,SHRIMPLIN,2808.5,70.98,0.401,11.5,18.395,3.1,1,0.277
32,2,A1 SH,SHRIMPLIN,2809.0,64.72,0.439,10.3,13.815,3.1,1,0.255
33,3,A1 SH,SHRIMPLIN,2809.5,54.29,0.47,9.9,9.44,3.2,1,0.234
34,3,A1 SH,SHRIMPLIN,2810.0,41.46,0.493,11.1,5.255,3.4,1,0.213
35,3,A1 SH,SHRIMPLIN,2810.5,50.93,0.524,12.1,5.265,4.6,1,0.17
36,3,A1 SH,SHRIMPLIN,2811.0,72.79,0.543,11.3,11.76,4.1,1,0.149
37,3,A1 SH,SHRIMPLIN,2811.5,95.34,0.555,14.1,17.665,3.5,1,0.128
38,3,A1 SH,SHRIMPLIN,2812.0,102.35,0.558,15.8,20.145,3.2,1,0.106
39,3,A1 SH,SHRIMPLIN,2812.5,79.7,0.549,15.5,18.07,3.2,1,0.085
40,3,A1 SH,SHRIMPLIN,2813.0,66.69,0.53,14.0,15.72,3.3,1,0.064
41,2,A1 SH,SHRIMPLIN,2813.5,73.68,0.521,14.7,15.98,3.3,1,0.043
42,2,A1 SH,SHRIMPLIN,2814.0,71.05,0.535,17.2,18.02,3.3,1,0.021
43,8,A1 LM,SHRIMPLIN,2814.5,57.02,0.628,11.6,12.09,3.5,2,1.0
44,8,A1 LM,SHRIMPLIN,2815.0,43.29,0.702,7.3,6.705,4.0,2,0.981
45,8,A1 LM,SHRIMPLIN,2815.5,36.06,0.762,5.7,4.595,5.0,2,0.963
46,8,A1 LM,SHRIMPLIN,2816.0,46.0,0.823,5.1,4.62,5.5,2,0.944
47,6,A1 LM,SHRIMPLIN,2816.5,60.3,0.915,4.6,5.01,5.6,2,0.926
48,6,A1 LM,SHRIMPLIN,2817.0,75.22,0.999,4.4,5.295,5.5,2,0.907
49,6,A1 LM,SHRIMPLIN,2817.5,87.19,1.045,4.7,5.32,5.4,2,0.889
50,6,A1 LM,SHRIMPLIN,2818.0,86.86,1.064,5.2,5.785,5.4,2,0.87
51,6,A1 LM,SHRIMPLIN,2818.5,88.0,1.051,6.5,6.38,5.4,2,0.852
52,6,A1 LM,SHRIMPLIN,2819.0,75.47,1.018,7.8,7.215,5.5,2,0.833
53,6,A1 LM,SHRIMPLIN,2819.5,59.36,0.972,10.0,8.925,4.9,2,0.796
54,6,A1 LM,SHRIMPLIN,2820.0,55.57,0.952,8.6,9.355,4.5,2,0.778
55,6,A1 LM,SHRIMPLIN,2820.5,46.96,0.924,5.4,9.12,4.3,2,0.759
56,6,A1 LM,SHRIMPLIN,2821.0,43.67,0.876,3.6,8.225,4.1,2,0.741
57,6,A1 LM,SHRIMPLIN,2821.5,55.23,0.826,5.1,7.875,4.3,2,0.722
58,6,A1 LM,SHRIMPLIN,2822.0,61.24,0.777,9.7,8.575,4.3,2,0.704
59,6,A1 LM,SHRIMPLIN,2822.5,54.46,0.728,12.8,10.66,4.4,2,0.685
60,7,A1 LM,SHRIMPLIN,2823.0,43.23,0.699,14.9,12.375,4.0,2,0.667
61,7,A1 LM,SHRIMPLIN,2823.5,44.59,0.682,16.0,13.54,3.9,2,0.648
62,4,A1 LM,SHRIMPLIN,2824.0,47.48,0.676,16.5,12.89,3.7,2,0.63
63,4,A1 LM,SHRIMPLIN,2824.5,61.1,0.671,15.2,11.785,3.7,2,0.611
64,4,A1 LM,SHRIMPLIN,2825.0,64.82,0.68,9.1,8.97,4.5,2,0.574
65,4,A1 LM,SHRIMPLIN,2825.5,55.77,0.71,6.1,8.93,5.1,2,0.556
66,4,A1 LM,SHRIMPLIN,2826.0,62.22,0.744,4.3,9.215,5.5,2,0.537
67,6,A1 LM,SHRIMPLIN,2826.5,55.06,0.786,2.9,9.5,5.6,2,0.519
68,6,A1 LM,SHRIMPLIN,2827.0,71.02,0.839,3.1,8.89,5.4,2,0.5
69,6,A1 LM,SHRIMPLIN,2827.5,91.37,0.881,3.9,8.06,5.3,2,0.481
70,6,A1 LM,SHRIMPLIN,2828.0,115.42,0.911,5.2,6.875,5.3,2,0.463
71,6,A1 LM,SHRIMPLIN,2828.5,115.7,0.94,5.9,6.085,5.2,2,0.444
72,6,A1 LM,SHRIMPLIN,2829.0,107.11,0.972,6.0,6.135,5.6,2,0.426
73,6,A1 LM,SHRIMPLIN,2829.5,93.82,1.008,5.8,6.64,5.6,2,0.407
74,6,A1 LM,SHRIMPLIN,2830.0,61.63,1.061,3.6,6.865,6.1,2,0.37
75,6,A1 LM,SHRIMPLIN,2830.5,45.98,1.076,3.6,6.25,6.2,2,0.352
76,6,A1 LM,SHRIMPLIN,2831.0,32.76,1.071,3.0,6.225,5.8,2,0.333
77,6,A1 LM,SHRIMPLIN,2831.5,37.82,1.058,3.6,6.19,5.7,2,0.315
78,6,A1 LM,SHRIMPLIN,2832.0,40.73,1.038,2.3,6.375,5.5,2,0.296
79,6,A1 LM,SHRIMPLIN,2832.5,33.42,1.005,2.2,6.61,5.4,2,0.278
