station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,pm1i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_ti0e,feel,metar
BOI,9/1/2020 0:00,-116.2406,43.5667,0,0,0,350,15,0,29.98,0,10,0,FEW,0,0,0,7999,0,0,0,0,0,0,0,0,0,0,0,KBOI 010000Z AUTO 35015KT 10S0 FEW079 23/03 A2997 R0K T02300030 0ADISHF
BOI,9/1/2020 0:05,-116.2406,43.5667,0,0,0,340,11,0,29.99,0,10,16,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010005Z AUTO 34011G16KT 10S0 CLR 23/03 A2998 R0K T02300030 0ADISHF
BOI,9/1/2020 0:10,-116.2406,43.5667,0,0,0,10,11,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010010Z AUTO 01011KT 10S0 CLR 23/03 A2998 R0K T02300030 0ADISHF
BOI,9/1/2020 0:15,-116.2406,43.5667,0,0,0,350,15,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010015Z AUTO 35015KT 10S0 CLR 23/03 A2998 R0K T02300030 0ADISHF
BOI,9/1/2020 0:20,-116.2406,43.5667,0,0,0,350,18,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010020Z AUTO 35018KT 10S0 CLR 23/03 A2998 R0K T02300030 0ADISHF
BOI,9/1/2020 0:25,-116.2406,43.5667,0,0,0,350,18,0,29.99,0,10,22,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010025Z AUTO 35018G22KT 10S0 CLR 23/03 A2998 R0K T02300030 0ADISHF
BOI,9/1/2020 0:30,-116.2406,43.5667,0,0,0,350,14,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010030Z AUTO 35014KT 10S0 CLR 23/03 A2998 R0K T02300030 0ADISHF
BOI,9/1/2020 0:35,-116.2406,43.5667,0,0,0,350,14,0,29.99,0,10,19,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010035Z AUTO 35014G19KT 10S0 CLR 23/03 A2998 R0K T02300030 0ADISHF
BOI,9/1/2020 0:40,-116.2406,43.5667,0,0,0,340,13,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010040Z AUTO 34013KT 10S0 CLR 23/03 A2998 R0K T02300030 0ADISHF
BOI,9/1/2020 0:45,-116.2406,43.5667,0,0,0,340,13,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010045Z AUTO 34013KT 10S0 CLR 23/03 A2998 R0K T02300030 0ADISHF
