,Date,DollarsPerMBTU
1,"Jan 07, 1997",3.82
2,"Jan 08, 1997",3.8
3,"Jan 09, 1997",3.61
4,"Jan 10, 1997",3.92
5,"Jan 13, 1997",4.0
6,"Jan 14, 1997",4.01
7,"Jan 15, 1997",4.34
8,"Jan 16, 1997",4.71
9,"Jan 17, 1997",3.91
10,"Jan 20, 1997",3.26
11,"Jan 21, 1997",2.99
12,"Jan 22, 1997",3.05
13,"Jan 23, 1997",2.96
14,"Jan 24, 1997",2.62
15,"Jan 27, 1997",2.98
16,"Jan 28, 1997",3.05
17,"Jan 29, 1997",2.91
18,"Jan 30, 1997",2.86
19,"Jan 31, 1997",2.77
20,"Feb 03, 1997",2.49
21,"Feb 04, 1997",2.59
22,"Feb 05, 1997",2.65
23,"Feb 06, 1997",2.51
24,"Feb 07, 1997",2.39
25,"Feb 10, 1997",2.42
26,"Feb 11, 1997",2.34
27,"Feb 12, 1997",2.42
28,"Feb 13, 1997",2.22
29,"Feb 14, 1997",2.12
30,"Feb 18, 1997",1.84
31,"Feb 19, 1997",1.95
32,"Feb 20, 1997",1.92
33,"Feb 21, 1997",1.92
34,"Feb 24, 1997",1.92
35,"Feb 25, 1997",1.77
36,"Feb 26, 1997",1.81
37,"Feb 27, 1997",1.8
38,"Feb 28, 1997",1.78
39,"Mar 03, 1997",1.8
40,"Mar 04, 1997",1.87
41,"Mar 05, 1997",1.92
42,"Mar 06, 1997",1.82
43,"Mar 07, 1997",1.89
44,"Mar 10, 1997",1.95
45,"Mar 11, 1997",1.92
46,"Mar 12, 1997",1.96
47,"Mar 13, 1997",1.98
48,"Mar 14, 1997",1.97
49,"Mar 17, 1997",2.01
50,"Mar 18, 1997",1.91
51,"Mar 19, 1997",1.88
52,"Mar 20, 1997",1.88
53,"Mar 21, 1997",1.87
54,"Mar 24, 1997",1.8
55,"Mar 25, 1997",1.85
56,"Mar 26, 1997",1.85
57,"Mar 27, 1997",1.84
58,"Mar 31, 1997",1.84
59,"Apr 01, 1997",1.95
60,"Apr 02, 1997",1.85
61,"Apr 03, 1997",1.87
62,"Apr 04, 1997",1.91
63,"Apr 07, 1997",1.99
64,"Apr 08, 1997",2.01
65,"Apr 09, 1997",1.96
66,"Apr 10, 1997",1.97
67,"Apr 11, 1997",1.98
68,"Apr 14, 1997",2.0
69,"Apr 15, 1997",2.0
70,"Apr 16, 1997",2.02
71,"Apr 17, 1997",2.08
72,"Apr 18, 1997",2.1
73,"Apr 21, 1997",2.09
74,"Apr 22, 1997",2.1
75,"Apr 23, 1997",2.22
76,"Apr 24, 1997",2.11
77,"Apr 25, 1997",2.16
78,"Apr 28, 1997",2.1
79,"Apr 29, 1997",2.09
80,"Apr 30, 1997",2.16
81,"May 01, 1997",2.19
82,"May 02, 1997",2.21
83,"May 05, 1997",2.23
84,"May 06, 1997",2.25
85,"May 07, 1997",2.34
86,"May 08, 1997",2.33
