date           time   X
10/3/2018   6:15:00     3
10/3/2018   6:45:00     3
10/3/2018   7:45:00     3
10/3/2018   9:00:00     4
10/3/2018   9:25:00     3
10/3/2018   9:30:00     3
10/3/2018   11:00:00    4
10/3/2018   11:30:00    3
10/3/2018   13:30:00    3
10/3/2018   13:50:00    3
10/3/2018   15:00:00    4
10/3/2018   15:25:00    3
10/3/2018   16:25:00    3
10/3/2018   18:00:00    3
10/3/2018   19:00:00    3
10/3/2018   19:30:00    3
10/3/2018   20:00:00    4
10/3/2018   22:05:00    3
10/3/2018   22:15:00    3
10/3/2018   23:40:00    3
10/4/2018   6:58:00     3
10/4/2018   13:00:00    3
10/4/2018   16:00:00    4
10/4/2018   17:00:00    3
10/4/2018   18:00:00    3
