,Unnamed: 0,Unnamed: 0.1,status_id,created_at,user_id,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,sentiment_polarity,sentiment_subjectivity,sentence,found_flag
0,0,182,x15518022208,2010-06-05 23:33:42,x25073877,realDonaldTrump,Tonight I trade places with Larry King @kingsthings and interview him on the 25th anniversary of his show. 9PM on CNN featuring best clips.,Twitter Web Client,139,,,,False,False,7,31,,,,,,,,,,,,,,x22685200,kingsthings,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3,Tonight I trade places with Larry King kingsthings and interview him on the 25th anniversary of his show 9PM on CNN featuring best clips,1
1,1,247,x151767567604781058,2011-12-27 20:53:02,x25073877,realDonaldTrump,"The Keystone pipeline will create 20,000 jobs and lower gas prices. But Obama says No. Dumb.",Twitter Web Client,92,,,,False,False,48,391,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,0.5,The Keystone pipeline will create 20 000 jobs and lower gas prices But Obama says No Dumb,1
2,2,261,x149956201868824576,2011-12-22 20:55:19,x25073877,realDonaldTrump,The safest way to preserve Medicare is with a robust and vibrant economy. We should lower corporate and capital gain taxes immediately.,Twitter Web Client,135,,,,False,False,17,89,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,0.16666666666666666,The safest way to preserve Medicare is with a robust and vibrant economy We should lower corporate and capital gain taxes immediately,1
3,3,281,x149943749844271106,2011-12-22 20:05:50,x25073877,realDonaldTrump,"“The thing about high corporate tax rates is that, in the end, companies aren’t the ones who foot the bill, consumers do.” #TimeToGetTough",Twitter Web Client,138,,,,False,False,17,159,TimeToGetTough,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.26999999999999996,The thing about high corporate tax rates is that in the end companies aren the ones who foot the bill consumers do,1
4,4,308,x141256304068014080,2011-11-28 20:45:01,x25073877,realDonaldTrump,Third quarter GDP was lowered to 2% . There won't be any economic recovery until @BarackObama is defeated.,TweetDeck,106,,,,False,False,14,175,,,,,,,,,,,,,,x813286,BarackObama,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,Third quarter GDP was lowered to 2 There wo not be any economic recovery until BarackObama is defeated,1
5,5,390,x142643435910864896,2011-12-02 16:36:59,x25073877,realDonaldTrump,"The new job figures don't include 315,000 people who have given up looking for jobs.",TweetDeck,84,,,,False,False,9,190,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13636363636363635,0.45454545454545453,The new job figures do not include 315 000 people who have given up looking for jobs,1
6,6,479,x138622911417286656,2011-11-21 14:20:52,x25073877,realDonaldTrump,The Super Committee is finding ways to raise all our taxes without admitting it. The Republicans made a big mistake agreeing to this deal.,TweetDeck,138,,,,False,False,13,112,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.3833333333333333,The Super Committee is finding ways to raise all our taxes without admitting it The Republicans made a big mistake agreeing to this deal,1
7,7,491,x135090433889021953,2011-11-11 20:24:03,x25073877,realDonaldTrump,October has a 7% foreclosure increase last month. Is this @BarackObama’s economic recovery?,Twitter Web Client,91,,,,False,False,13,139,,,,,,,,,,,,,,x813286,BarackObama,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.13333333333333333,October has a 7 foreclosure increase last month Is this BarackObama s economic recovery,1
8,8,509,x121299808995647490,2011-10-04 19:05:02,x25073877,realDonaldTrump,Our national debt has grown by 30% and a gallon of gas has doubled so far under @BarackObama. He is a disaster.,TweetDeck,111,,,,False,False,42,668,,,,,,,,,,,,,,x813286,BarackObama,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.0,Our national debt has grown by 30 and a gallon of gas has doubled so far under BarackObama He is a disaster,1
9,9,574,x125923291591475200,2011-10-17 13:17:06,x25073877,realDonaldTrump,China's military buildup is a major threat to the Free World. We must remain resolute and maintain our national defense at all costs.,TweetDeck,133,,,,False,False,16,148,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12083333333333335,0.4666666666666666,China is military buildup is a major threat to the Free World We must remain resolute and maintain our national defense at all costs,1
