,Unnamed: 0,date,city,duration,summary,posted,state_idaho,state_utah,Changing,Chevron,Cigar,Circle,Cone,Cross,Cylinder,Diamond,Disk,Egg,Fireball,Flash,Formation,Light,Other,Oval,Rectangle,Sphere,Teardrop,Triangle,Unknown,changing,light,other
32889,32889,6/11/18 02:00,Bonners Ferry,20 minutes,Seen tonight and last night from about 1:45 to 2am. In sky south east of Bonners Ferry. Bright orange yellow light fading on and off. J,6/15/18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32890,32890,6/10/18 10:00,Hayden,1 minute,"Egg shaped, burnished silver, no engine noise, slow moving.",6/15/18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32891,32891,5/9/18 22:16,King Hill (east of),>1 minute,"Large, bright, orange light fading on and off every 15 to 20 seconds for the 1 to 1.5 minutes I observed it.",5/15/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32892,32892,5/8/18 02:50,Jerome,10-15 minutes,"Oranges/triangular shaped aircraft, 3 circular circles on bottom thrusters three or four blue square fiery on back.",5/10/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32893,32893,5/8/18 02:50,Jerome,10-15 minutes,"At 2:50 am May 8, '18 I saw a triangular-shaped aircraft moving east to west with orange lights around the sides three circular blue li",5/10/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32894,32894,3/28/18 22:05,Nampa,2 minutes,3 Lights Transforms To 4 flying In Triangle & Diamond.,3/29/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32895,32895,3/27/18 06:13,Pocatello,10,Bright steady white light moving south to north.  No sound.,3/29/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32896,32896,3/12/18 02:55,Boise,~30 seconds,At approximately 02:55 I was standing outside with clear sky when from the South West a triangular object entered my field of view movi,3/23/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32897,32897,3/6/18 21:15,Twin Falls,10 minutes,15 amber colored lights flew in formation.  ((anonymous report)),3/8/18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32899,32899,2/24/18 21:20,Sand Point,2:30 minutes,"Red/orange light moving low across horizon stops, smaller light drops down, both disappear.",3/2/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32900,32900,2/19/18 03:00,Boise,20 minutes,"Large disk-shaped ship searching the ground, at 3 am.",2/22/18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32901,32901,2/6/18 18:30,Boise,25 minutes,Comet-like UFO.  ((NUFORC Note:  Re-entering space debris??  PD)),2/16/18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32902,32902,2/6/18 17:00,Caldwell,2 minutes,"Approximately 7 PM a circular object with steady white glow seen to the North of Caldwell, witnessed by 4 people.",2/16/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32904,32904,1/1/18 18:00,Roberts,10 minutes,It was a cloudy day and I noticed red beams in the clouds so I started taking pics and got a saucer flying in a funnel cloud and then o,4/26/18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32905,32905,12/30/17 02:00,Eden,Ongoing,Constant hover..blue and yellow orange beams that rotate from top to bottom white light is blinding bright  ((anonymous report)),1/12/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32906,32906,12/18/17 00:24,Boise,18 minutes,Saw this orb with a blue and red light. When it was still it was visible when it moved the sky turned blue around the triangle shaped c,12/21/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32907,32907,12/11/17 22:15,Victor,4 minutes,Flaming ball of fire - spinning- Linear movements.,12/14/17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32908,32908,12/6/17 03:30,Boise,15 minutes,Large cigar-shaped UFO with visible cabin lights.,12/10/17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32909,32909,12/1/17 04:00,Boise,10 minutes,Large cigar-shaped UFO with visible cabin lights.,12/4/17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32910,32910,11/6/17 22:00,Boise,3 seconds,Big green orb falling straight down out of sky.,11/9/17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32911,32911,11/2/17 02:04,Boise,45 seconds,((HOAX??))  Eight egg-looking saucers in the air temp dropped.  ((anonymous report)),11/3/17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32912,32912,10/31/17 18:45,White Bird,10 minutes,"A bright object perhaps one sixth the size of the moon, traveling from east to west appeared and traveled quickly looking like a balloo",11/3/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32913,32913,10/23/17 20:30,Mountain Home AFB,20-30 minutes,Bright orange lights near Mountain Home AFB,11/3/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32914,32914,10/8/17 01:06,Athol,15 minutes,Orange globes seen from Athol that appeared to be near Sandpoint.,10/19/17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32915,32915,10/3/17 11:32,Boise,5 seconds,"As I was walking down the sidewalk with my 6 year old son, I stopped to put sunglasses on my son. Just after my son put the sunglasses",10/5/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
